From,To,Length(m),Azimuth(deg),Clino(deg)
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.59,143.80,0.50
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.93,155.60,3.10
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.34,166.60,5.70
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.93,178.50,2.30
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.12,191.30,1.30
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.25,198.70,0.50
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.31,206.20,-0.50
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.42,210.70,-0.70
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.89,219.80,-0.70
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.35,224.30,-1.60
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.96,236.00,-2.30
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.63,252.10,-2.40
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.47,262.00,-4.90
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.97,268.80,-5.30
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.59,278.50,-5.00
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.34,218.40,-16.70
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.03,214.30,-41.60
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,5.92,205.40,-50.70
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.81,188.90,-47.10
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.01,168.60,-53.50
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.11,196.70,-61.60
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,5.22,172.80,-56.90
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.58,170.30,-68.50
0@Entree.GouffrePlusPlus.106.UltimaPatagonia,1@Entree.GouffrePlusPlus.106.UltimaPatagonia,6.44,200.30,-58.70
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.76,268.40,10.10
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.11,232.10,6.40
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.78,243.30,5.50
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.58,219.00,-1.10
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.36,206.90,-0.20
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.18,192.80,0.60
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.06,166.50,-2.50
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.77,350.60,28.20
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.39,30.50,21.50
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.48,60.50,22.30
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.91,69.60,20.80
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.44,90.70,21.90
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.20,105.20,19.70
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.18,125.40,19.10
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.20,183.80,-53.70
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.37,211.80,-54.00
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.62,232.90,-67.10
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,7.50,168.40,-68.90
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.07,111.70,-79.40
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,8.08,174.40,-83.50
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,17.49,190.20,-75.30
1@Entree.GouffrePlusPlus.106.UltimaPatagonia,2@Entree.GouffrePlusPlus.106.UltimaPatagonia,25.23,192.60,-76.40
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.99,241.60,7.30
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.57,248.60,7.20
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.59,232.90,7.30
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.46,263.40,13.10
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.17,306.80,6.80
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.06,326.10,1.40
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.01,336.70,4.30
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.98,349.00,2.90
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.11,359.70,2.40
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.23,13.80,-0.90
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.07,22.60,-1.20
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.33,32.30,-2.50
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.11,43.20,-1.00
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.25,57.70,-4.80
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.62,65.30,-3.70
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.67,320.90,65.80
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.42,349.30,72.20
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,21.83,5.00,75.20
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,22.00,12.00,75.10
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,5.93,18.70,66.60
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.21,69.40,-52.10
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.52,151.50,-61.30
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.15,335.80,-78.10
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.30,183.50,-82.70
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.59,209.20,-58.10
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.52,222.30,-52.70
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.43,217.10,-64.70
2@Entree.GouffrePlusPlus.106.UltimaPatagonia,3@Entree.GouffrePlusPlus.106.UltimaPatagonia,2.15,225.10,-52.60
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.02,240.10,9.10
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.54,210.40,4.90
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.32,169.10,11.00
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.71,345.80,-0.20
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.97,345.30,-7.30
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.64,359.70,-0.80
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.43,21.40,2.00
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.98,53.00,10.90
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.31,62.20,4.20
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.43,80.30,1.90
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.09,80.60,2.40
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.69,84.20,9.10
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.57,94.60,6.80
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.72,324.00,-36.20
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.42,319.40,-44.90
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.22,287.90,-65.10
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.92,303.00,-61.40
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.40,285.70,-70.60
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.21,303.40,-64.90
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,16.71,304.80,-69.60
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.71,322.40,-62.50
3@Entree.GouffrePlusPlus.106.UltimaPatagonia,4@Entree.GouffrePlusPlus.106.UltimaPatagonia,9.98,307.80,-63.90
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,5.18,141.40,6.00
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.51,129.60,6.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.07,121.20,5.90
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.28,114.90,4.80
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.82,109.20,5.60
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.74,109.00,-0.80
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.04,77.10,-2.20
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.88,50.90,1.90
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.74,25.70,5.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.38,346.40,3.10
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.18,335.50,5.20
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.46,333.00,6.80
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.21,132.00,-5.00
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.49,132.60,-16.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.37,134.30,-29.10
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.84,134.30,-41.50
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.72,123.20,-60.50
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.56,119.00,-76.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,5.20,105.90,-86.50
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,7.49,295.20,-86.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,7.14,315.60,-73.10
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.74,325.90,-51.10
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.56,324.00,-46.80
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,11.03,333.00,-58.30
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,12.45,337.20,-65.90
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,13.00,346.60,-78.40
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,12.86,3.40,-82.80
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,12.81,319.60,-83.20
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,12.75,322.60,-72.60
4@Entree.GouffrePlusPlus.106.UltimaPatagonia,5@Entree.GouffrePlusPlus.106.UltimaPatagonia,12.49,324.10,-69.60
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.14,251.40,8.20
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.96,270.80,9.40
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.14,294.80,9.50
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.53,318.00,11.80
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.83,327.80,10.80
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.41,351.20,10.40
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.43,15.20,7.30
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.42,31.90,5.30
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.48,77.00,-0.30
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.84,94.50,1.80
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.69,90.60,-2.90
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.18,105.30,-5.00
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.08,117.20,-4.70
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.83,126.00,-5.60
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.09,134.10,-5.30
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.02,142.50,-6.20
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.19,150.70,-2.80
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.56,157.10,-5.60
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.02,168.10,-9.70
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.49,172.80,-9.50
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.11,179.50,-8.10
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.82,186.30,-2.40
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.33,198.50,1.50
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.23,227.40,8.30
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.82,141.50,-37.40
5@Entree.GouffrePlusPlus.106.UltimaPatagonia,6@Entree.GouffrePlusPlus.106.UltimaPatagonia,6.03,167.80,-14.90
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.94,204.50,81.60
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.18,331.00,63.80
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.40,344.50,36.40
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.81,342.70,22.60
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.59,330.00,18.60
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.57,353.80,18.10
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.76,322.50,16.60
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.26,312.80,14.10
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.92,301.20,8.90
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.67,279.70,-4.50
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.62,263.70,-4.60
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.47,240.70,6.70
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.32,204.60,22.10
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.62,329.90,-20.70
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,4.41,319.50,-34.90
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.83,312.00,-54.40
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.89,308.30,-61.80
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.40,300.00,-67.80
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,6.08,326.20,-81.50
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,10.27,274.80,-80.90
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,10.25,272.30,-73.80
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,9.49,238.50,-81.80
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,9.84,224.40,-72.90
6@Entree.GouffrePlusPlus.106.UltimaPatagonia,7@Entree.GouffrePlusPlus.106.UltimaPatagonia,8.58,226.00,-75.70
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.32,310.50,-1.80
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.73,318.50,-3.20
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.96,322.30,-4.90
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.11,329.20,-4.50
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.52,332.30,-5.00
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.93,344.80,-2.40
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.63,355.00,-2.00
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.07,6.50,-1.70
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.72,18.60,1.40
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.30,34.50,5.00
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.33,35.00,-8.70
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.56,64.30,-14.70
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.22,81.00,-11.80
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.05,93.30,-10.20
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.59,140.10,-8.50
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.06,149.90,-6.90
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.63,160.00,-3.50
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.80,168.20,0.30
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,1.45,179.60,-1.40
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.96,190.20,-8.40
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,0.73,217.90,-5.00
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.97,337.10,-35.20
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,2.36,341.50,-53.20
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,8@Entree.GouffrePlusPlus.106.UltimaPatagonia,19.91,190.20,-77.80
7@Entree.GouffrePlusPlus.106.UltimaPatagonia,-,3.42,172.30,-36.90
1@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.85,225.61,0.12
1@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.71,192.39,3.17
1@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.00,257.95,2.58
1@Suite.GouffrePlusPlus.106.UltimaPatagonia,2@Suite.GouffrePlusPlus.106.UltimaPatagonia,4.72,200.63,-44.85
2@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.82,343.96,7.81
2@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.49,32.31,4.28
2@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.61,290.62,12.43
2@Suite.GouffrePlusPlus.106.UltimaPatagonia,3@Suite.GouffrePlusPlus.106.UltimaPatagonia,26.23,200.29,-76.87
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.71,339.96,2.06
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.60,31.59,6.44
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.19,57.38,2.66
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.35,265.71,31.80
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.64,141.91,-87.92
3@Suite.GouffrePlusPlus.106.UltimaPatagonia,4@Suite.GouffrePlusPlus.106.UltimaPatagonia,2.03,61.14,-51.86
4@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.73,13.95,86.43
4@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.56,183.78,-55.74
4@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.47,124.87,-9.18
4@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.28,301.84,28.95
4@Suite.GouffrePlusPlus.106.UltimaPatagonia,5@Suite.GouffrePlusPlus.106.UltimaPatagonia,2.34,223.37,-30.96
5@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.59,17.36,6.36
5@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.18,344.92,-8.53
5@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.41,108.06,44.30
5@Suite.GouffrePlusPlus.106.UltimaPatagonia,6@Suite.GouffrePlusPlus.106.UltimaPatagonia,1.98,337.19,-41.16
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.20,244.82,85.61
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,8.35,278.72,-85.18
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.74,300.28,-2.24
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.36,165.96,1.17
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.55,214.82,6.19
6@Suite.GouffrePlusPlus.106.UltimaPatagonia,7@Suite.GouffrePlusPlus.106.UltimaPatagonia,8.22,299.58,-66.38
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,5.06,140.04,5.40
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.25,329.09,15.02
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.71,47.22,11.79
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,8.38,117.07,66.37
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,12.66,321.62,-83.28
7@Suite.GouffrePlusPlus.106.UltimaPatagonia,8@Suite.GouffrePlusPlus.106.UltimaPatagonia,12.39,338.47,-70.00
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.38,292.27,9.78
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.79,237.99,22.68
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,4.04,156.66,-0.27
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,10.76,190.83,80.50
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.79,197.74,-66.80
8@Suite.GouffrePlusPlus.106.UltimaPatagonia,9@Suite.GouffrePlusPlus.106.UltimaPatagonia,6.13,183.68,-13.48
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.72,71.45,4.70
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.89,121.62,17.36
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.86,344.19,-1.88
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.15,33.30,58.96
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,9.85,186.65,-81.83
9@Suite.GouffrePlusPlus.106.UltimaPatagonia,10@Suite.GouffrePlusPlus.106.UltimaPatagonia,5.68,79.98,-81.46
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.97,234.04,-0.98
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.35,280.49,-3.22
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.08,191.64,7.89
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,6.48,213.99,86.00
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.58,187.98,-66.78
10@Suite.GouffrePlusPlus.106.UltimaPatagonia,11@Suite.GouffrePlusPlus.106.UltimaPatagonia,4.69,209.48,-40.72
11@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,8.43,331.24,41.78
11@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.94,354.01,-5.93
11@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.54,138.20,12.23
11@Suite.GouffrePlusPlus.106.UltimaPatagonia,12@Suite.GouffrePlusPlus.106.UltimaPatagonia,6.45,179.40,-63.89
12@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,5.39,37.57,74.76
12@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,13.37,253.52,-86.41
12@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.54,141.10,0.05
12@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.30,351.28,2.01
12@Suite.GouffrePlusPlus.106.UltimaPatagonia,13@Suite.GouffrePlusPlus.106.UltimaPatagonia,12.71,101.28,-88.39
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.61,275.22,8.23
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.63,163.92,4.59
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,5.99,160.98,-9.15
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.63,75.27,-0.91
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,7.45,22.36,-9.89
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.65,80.73,-74.79
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,14@Suite.GouffrePlusPlus.106.UltimaPatagonia,4.86,1.48,6.82
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.39,251.12,2.06
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.26,67.14,-10.33
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.27,352.23,81.90
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,4.50,339.61,-11.99
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.93,300.71,-6.63
14@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,2.48,293.24,-7.55
13@Suite.GouffrePlusPlus.106.UltimaPatagonia,15@Suite.GouffrePlusPlus.106.UltimaPatagonia,3.69,128.28,5.17
15@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.19,70.57,-17.47
15@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,4.82,247.89,-11.71
15@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.84,117.30,-79.28
15@Suite.GouffrePlusPlus.106.UltimaPatagonia,16@Suite.GouffrePlusPlus.106.UltimaPatagonia,3.98,167.04,-11.43
16@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.81,37.05,-11.35
16@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.48,57.33,16.08
16@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.14,213.86,-24.64
16@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.98,196.35,-78.83
16@Suite.GouffrePlusPlus.106.UltimaPatagonia,17@Suite.GouffrePlusPlus.106.UltimaPatagonia,3.80,112.33,-2.88
17@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.03,3.98,-0.01
17@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.09,354.19,-81.86
17@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.81,196.03,-15.41
17@Suite.GouffrePlusPlus.106.UltimaPatagonia,18@Suite.GouffrePlusPlus.106.UltimaPatagonia,3.66,89.75,-17.95
18@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,0.67,192.50,84.83
18@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.15,69.78,19.43
18@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.38,233.16,2.33
18@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.27,216.53,-38.36
18@Suite.GouffrePlusPlus.106.UltimaPatagonia,19@Suite.GouffrePlusPlus.106.UltimaPatagonia,6.07,158.63,-1.87
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.02,55.35,81.23
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,4.79,41.34,-13.17
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,4.97,69.67,-15.53
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.02,60.50,-49.10
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,3.47,127.00,1.24
19@Suite.GouffrePlusPlus.106.UltimaPatagonia,20@Suite.GouffrePlusPlus.106.UltimaPatagonia,7.43,98.88,-24.70
20@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.37,185.53,-1.69
20@Suite.GouffrePlusPlus.106.UltimaPatagonia,-,1.57,24.60,-4.78
