,CAD_NUM,NomCadastre,Nom_complet,X (UTM 18 Sud),Y (UTM 18 Sud),Alt.,Dev. Topo,Termine?,Dev.estimé,Prof.,UP,Commentaire,Explorateurs
307,ENT_304050,Arc113,Arc 113,491671.0,4306206.0,299,,oui,20,-15,2014,Croquis ; Fini,
308,ENT_304051,Arc114,Arc 114,491307.0,4306156.0,259,,oui,40,-20,2014,Croquis ; Fini,
309,ENT_304052,Arc112,Arc 112 ; Les mystères de l'ouest,491808.0,4306374.0,291,216.0,non,216,-71,2014,"Topographie faite, arrêt sur Rien, méandre actif, 50 l-S ; A faire par temps Sec !!!",
310,ENT_304053,GouffreDuRobinet,Gouffre du Robinet,493210.0,4307750.0,456,230.0,?,230,-91,2014,Topographie effectuée,
311,ENT_304054,CuevaDelSol,Arc 20 ou gouffre du Soleil,492409.0,4307605.0,212,140.0,non,140,-100,2014,"Les 30 derniers mètres sont estimés, arrêt sur Rien au sommet d'iun P30, dernier point topo sur AN de début de MC, avec une croix au dessus, P30 difficile à équiper car rien ne tient",
312,ENT_304055,Arc19,Arc 19,492487.0,4307678.0,229,,non,60,-50,2014,Arrêt du etr. En sommet de P10 non descendu,
313,ENT_304056,Arc18,Arc 18,492484.0,4307639.0,224,,?,48,-37,2014,arrêt sur éboulis,
314,ENT_304057,Arc17,Arc 17,492637.0,4307761.0,300,,non,20,-20,2014,"Perte de canelure, importante,P20 mini,  non explorée",
413,ENT_401001,MoulinReveBleu,Moulin Rêve Bleu,577225.0,4604263.0,,,,64,32,2019,,
414,ENT_401002,PerteSaloude,Perte Saloude,577141.0,4603383.0,,,,,,2019,,
415,ENT_401003,MoulinDeGlace,Moulin de glace,577289.0,4604031.0,122,,,8,8,2019,,
416,ENT_401004,Lac2,Lac 2,577528.0,4603955.0,,,,,12,2019,,
417,ENT_401005,LacTicEtTac,Lac Tic et Tac,577555.0,4603901.0,,,,,,2019,,
418,ENT_401006,CuevaEsperanza,Cueva Esperanza,576150.0,4598655.0,250,,,70,25,2019,,
420,ENT_401007,TraverseeDeLaCascade,Traversée de la Cascade,576183.0,4600809.0,,,,12,3,2019,,
421,ENT_401008,AbriSousGlace,L'abri sous glace,576064.0,4600782.0,,,,10,2,2019,,
422,ENT_401009, SaltoDelAgua,Salto del Agua,575588.0,4601180.0,,106,8,8,2019,,
423,ENT_401010, MoulinAbou,Moulin Abou,575786.0,4601270.0,,,,20,16,2019,,
424,ENT_401011,MoulinTapisVolant,Moulin Tapis Volant,575977.0,4601227.0,,,,20,15,2019,,
425,ENT_401012,Traversee,Traversée,575925.0,4601038.0,,,,25,10,2019,,
426,ENT_401013,MoulinDuChampignon,Moulin du Champignon,576005.0,4597166.0,,,,20,?,2019,,
427,ENT_401014,TraverseeDuMeandre1,Traversee du meandre 1,577950.0,4597074.0,,,,30,4,2019,,
428,ENT_401015,TraverseeDuMeandre2,Traversee du meandre 2,578009.0,4597133.0,,,,15,2,2019,,
429,ENT_401016,MoulinDeGlace,Moulin de glace,576724.0,4597385.0,,,,7,7,2019,,
430,ENT_401017,MoulinDeLaConception,Moulin de la Conception,575986.0,4597099.0,,,,30,?,2019,,
431,ENT_401018,CuevaTempanosEntree1,Cueva Tempanos - Entrée 1,575384.0,4601618.0,48,,,190,58,2019,,
432,ENT_401019,CuevaTempanosEntree2,Cueva Tempanos - Entrée 2,575379.0,4601714.0,36,,,,,2019,,
433,ENT_401020,CuevaTempanosEntrée3,Cueva Tempanos - Entrée 3,575465.0,4601707.0,58,,,,,2019,,
419,ENT_401021,FuitePrometteuse,Fuite Prometteuse,575691.0,4601178.0,,,,40,22,2019,,
353,NAN,LosGringos,Cueva de los Gringos,,,??,64.0,oui,64,47,2017,"Descendu par Laurence et Arnauld, correspond surement à la grotte des 1001 cascades",
445,NAN,ResurgenceLobos,Resurgence des Lobos,479668.0,4427696.0,0,,,,,2006,,
355,NAN,PerteDesTetesBrulees,Perte des têtes brulées,,,??,,oui,35,20,2017,"A proximité du camp GB, descendu par Arnauld et Lionel jusque -20m, bouché. Point GPS Cédric ou Lionel",
242,NAN,Perte1,perte 1,,,,,,,,2010,pas pointée mais juste à coté de la perte 2 et ambrée (n°130),
367,NAN,BahiaBlanca,Exsurgence de la Punta Blanca,478753.0,4465590.0,0,,non,0,0,2017,A l'endroit où l'on gare les zodiacs pour accéder à la Cueva de la Punta Blanca. Sort sous le niveau de la mer. Plusieurs centaines de litres seconde. Semble plongeable.,
235,NAN,SumideroArdilla,Sumidero Ardilla  ,0.0,0.0,,,non,80,-70,2010,,
233,NAN,trou noir,trou noir,,,,,oui,,,2010,,"Richard, Olivier T "
436,NAN,HaciendasSalinas, Haciendas Salinas,490183.0,4452320.0,66,,,,,2008ENG,,
259,NAN,TrouQuiPayePasDeMine,Trou qui paye pas de mine,,,,108.0,,108,-48,2014,Topographie,
316,NAN,ResurgenceDeLAvenir,Résurgence de l'Avenir,,,,700.0,?,700,12 - -39,2014,"Topographie, dont 321 m noyés",
239,NAN,GrotteAudeline,Grotte de l'Audeline,,,,143.0,oui,143,19,2010,traversée fossile,"Laurent C, Pierre"
232,NAN,Traversé du roberto,Traversé du roberto,,,,,oui,,,2010,,"Richard, Olivier T "
78,NAN,GoldenIgue,Golden Igue,,,,0.0,oui,90,-73,2010,"jonction à la voix avec la perte des 4 champi, à proximité du James Bonde","Florian, Olivier G"
5,NAN,PorcheDeLImpatience,Porche de l'Impatiance,471000.0,4420800.0,30,50.0,oui,,20,2008,Coordonnées (pointage carte) - tectonique,
69,NAN,CuevaDeLasLapas,Cueva de Las Lapas,,,,,oui,3,3,2010,,"Richard, Olivier T, Jean-Francois P"
84,NAN,GrotteCacahuete,Grotte de la Cacahuete,,,,186.0,oui,186,-21,2010,"redécouverte par équipe 1 du camp 2 le 01-02-2010 (découverte ""oubliée"" (non topo) par Richard et Jo en raid-éclair en 2000 depuis camp perte du Temps), située une cinquantaine de mètres en rive droite de la perte de la Jeanne dans un renfoncement de falaise.",Les doigts bleus
90,NAN,PorcheDeLaCrevette,Porche de la Crevette,,,,,oui,10,-5,2010,"Porche effondré, sans suite évidente",Les doigts bleus
91,NAN,PerteJeanneDArc,Perte de la Jeanne d'Arc,,,,,oui,0,0,2010,"Perte gigantesque, >1 m3-s. Impénétrable car effondrée",Les doigts bleus
157,NAN,Résurgence,Résurgence,,,,,oui,15,0,2010,Siphon pénétrable 1m3-s,"Olivier T, Florian"
204,NAN,LosPiscoleros,Los Piscoleros,,,,,oui,,,2010,"Dans une zone de porche, conduite forcée glacière qui part (voir photo)","Antoine, Denis, Olivier G, Vanessa"
44,NAN,CuevaPirates,Cueva Pirates,790220.0,4452363.0,10,370.0,non,300,40,2008,résurgence (courant d'air arrêt sur puits),
27,NAN,Résurgence 5 plage de la Baleine,Résurgence 5 plage de la Baleine,,,,,non,,,2008,500 l-s (os de baleine),
26,NAN,Résurgence 3 plage de la Baleine,Résurgence 3 plage de la Baleine,,,,,non,,,2008,200 l-s (os de baleine),
82,NAN,PerteNotoCanada,Perte Notocanada ,,,,,oui,35,-35,2010,"Deux puits qui s'enchainent, fracturés.",
25,NAN,Grotte du bout du monde,Grotte du bout du monde,,,40,125.0,non,,-15,2008,arrêt sur rien! ,
402,NAN,QuatreEntreesPlusUne,Grotte des quatre entrées plus une,,,,,,341,"-32, +40",2019,,
17,NAN,Perte sans nom,Perte sans nom,,,,,oui,25,-15,2008,30 mètres au dessus de la Détente,
405,NAN,ResurgenceHongo,Résurgence Hongo,478745.0,4446553.0,0,,,380,29,2019,,
158,NAN,Résurgence,Résurgence,,,,,oui,10,0,2010,siphon,"Olivier T, Florian"
159,NAN,Résurgence,Résurgence,,,,,oui,10,0,2010,siphon,"Olivier T, Florian"
168,NAN,GouffreInstantané,Gouffre instantané,,,,0.0,oui,45,-20,2010,50m de la détente. idem Aven?,"Stéphane, Laurent M"
375,NAN,TroisEntreesPlusUne,Grotte des trois entrées plus une,,,?,2434.0,non,2434,48--54,2017,"Cavité énorme, exploration à continuer",
174,NAN,GouffreDuCanyon,Gouffre du Canyon,,,,,non,75,-29,2010,"Suite de petits ressauts dans méandre. Arrêt sur trémie, suite visible mais impénétrable","Arnauld, Denis, Olivier T"
6,NAN,PequinaSud,Pequina Sud,,,,,oui,20,-17,2008,,
21,NAN,BobLEponge,Bob l'Eponge,473372.0,4427993.0,200,,oui,60,-40,2008,"petite perte, arrêt sur siphon",
118,NAN,cueva103,cueva,473005.0,,401,0.0,oui,20,-20,2010,,"Buldo, José, Jean Phi"
